Ticker,Crypto Stack,Sector,Industry,Taxonomy
1INCH,dApp,Infrastructure,DeFi,UtilityToken
AAVE,dApp,Infrastructure,DeFi,GovernanceToken
ADA,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
AIOZ,dApp,Infrastructure,Streaming,UtilityToken
AKT,dApp,Infrastructure,CloudComputing,UtilityToken
AMP,PaymentPlatform,Infrastructure,PaymentPlatform,UtilityToken
APE,dApp,Metaverse,NFT,GovernanceToken
APT,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
AR,dApp,Infrastructure,Storage,UtilityToken
ARB,dApp,Infrastructure,Scaling,UtilityToken
ARKM,dApp,Infrastructure,DataAnalytics,UtilityToken
ASTR,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
ATOM,CrossChainPlatform,Infrastructure,CrossChainPlatform,NativeCurrency
AVAX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
AXL,dApp,Infrastructure,Interoperability,UtilityToken
AXS,dApp,Metaverse,Gaming,NativeCurrency
BCH,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
BDX,PaymentPlatform,Infrastructure,PrivacyPreserving,Cryptocurrency
BEAM,PaymentPlatform,Infrastructure,PrivacyPreserving,Cryptocurrency
BGB,cApp,CeFi,CEX,UtilityToken
BLUR,dApp,Infrastructure,DataMarketplace,UtilityToken
BNB,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
BONK,dApp,MediaEntertainment,Gambling,MemeCoin
BSV,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
BTC,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
BTG,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
BTT,dApp,Infrastructure,FileSharing,UtilityToken
CAKE,dApp,Infrastructure,DEX,UtilityToken
CFX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
CHZ,dApp,Metaverse,Sports,NativeCurrency
CKB,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
COMP,dApp,DeFi,Lending,GovernanceToken
CORE,dApp,Infrastructure,Web3,UtilityToken
CRO,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
CRV,dApp,DeFi,DEX,UtilityToken
DEXE,dApp,Infrastructure,DeFi,UtilityToken
DOGE,PaymentPlatform,MediaEntertainment,Gambling,MemeCoin
DOT,CrossChainPlatform,Infrastructure,CrossChainPlatform,NativeCurrency
EGLD,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
ENS,dApp,Infrastructure,DomainServices,UtilityToken
EOS,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
ETC,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
ETH,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
FET,dApp,AI,UtilityToken,
FIL,SmartContractPlatform,Infrastructure,DataStoragePlatforms,NativeCurrency
FLOKI,dApp,MediaEntertainment,Gambling,MemeCoin
FLOW,dApp,Infrastructure,DataAnalytics,UtilityToken
FLR,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
FTM,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
FTN,dApp,DeFi,Lending,UtilityToken
GALA,dApp,Metaverse,Gaming,NativeCurrency
GMT,dApp,Infrastructure,SocialMedia,UtilityToken
GNO,dApp,Infrastructure,DeFi,UtilityToken
GT,cApp,CeFi,CEX,UtilityToken
HBAR,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
HNT,dApp,Infrastructure,IoT,NativeCurrency
ICP,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
IMX,dApp,Metaverse,NFT,UtilityToken
INJ,dApp,Infrastructure,DeFi,UtilityToken
IOTA,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
IOTX,dApp,Infrastructure,IoT,UtilityToken
JASMY,dApp,Infrastructure,IoT,UtilityToken
KAS,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
KAVA,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
KCS,cApp,CeFi,CEX,UtilityToken
KLAY,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
KSM,CrossChainPlatform,Infrastructure,CrossChainPlatform,NativeCurrency
LEO,cApp,CeFi,CEX,UtilityToken
LINK,dApp,Infrastructure,DataOracles,UtilityToken
LPT,dApp,Infrastructure,Streaming,UtilityToken
LTC,PaymentPlatform,Infrastructure,PaymentPlatform,Cryptocurrency
LUNC,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
MATIC,ScalingPlatform,Infrastructure,ScalingPlatform,NativeCurrency
MKR,dApp,DeFi,Lending,GovernanceToken
MNT,dApp,Infrastructure,DeFi,UtilityToken
MOG,dApp,MediaEntertainment,Gaming,UtilityToken
MX,cApp,CeFi,CEX,UtilityToken
NEAR,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
NEO,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
NEXO,cApp,CeFi,Lending,UtilityToken
OKB,cApp,CeFi,CEX,UtilityToken
OM,dApp,DeFi,Lending,UtilityToken
OP,ScalingPlatform,Infrastructure,ScalingPlatform,NativeCurrency
ORDI,dApp,Infrastructure,DeFi,UtilityToken
OSMO,dApp,Infrastructure,DeFi,UtilityToken
PAXG,Tokenization,Infrastructure,Tokenization,DerivativeToken
PENDLE,dApp,DeFi,Lending,UtilityToken
PEOPLE,dApp,Governance,UtilityToken,
PEPE,dApp,Metaverse,NFT,MemeCoin
PEPECOIN,dApp,MediaEntertainment,Gambling,MemeCoin
PRIME,dApp,Infrastructure,DeFi,UtilityToken
QNT,dApp,Infrastructure,DeveloperTooling,GovernanceToken
RAY,dApp,Infrastructure,DeFi,UtilityToken
RENDER,dApp,Infrastructure,ContentCreation,UtilityToken
RON,dApp,Infrastructure,Interoperability,UtilityToken
