CoinGecko100,Ticker,Crypto Stack,Sector,Industry,Taxonomy
Ethereum,ETH,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
BNB,BNB,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Cardano,ADA,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Solana,SOL,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
TRON,TRX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Toncoin,TON,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Avalanche,AVAX,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Ethereum Classic,ETC,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Hedera,HBAR,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Internet Computer,ICP,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Cronos,CRO,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Aptos,APT,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
VeChain,VET,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
NEAR Protocol,NEAR,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Kaspa,KAS,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
XDC Network,XDC,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Algorand,ALGO,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Tezos,XTZ,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
EOS,EOS,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
MultiversX,EGLD,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Radix,XRD,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Injective,INJ,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
Fantom,FTM,SmartContractPlatform,Infrastructure,SmartContractPlatform,NativeCurrency
