Ticker,GeneralCategory
1INCH,DeFi
AAVE,DeFi
ADA,SmartContractPlatforms
AIOZ,Infrastructure_Utility
AKT,Infrastructure_Utility
AMP,Payment
APE,NFT_Metaverse
APT,SmartContractPlatforms
AR,Infrastructure_Utility
ARB,Infrastructure_Utility
ARKM,Infrastructure_Utility
ASTR,SmartContractPlatforms
ATOM,SmartContractPlatforms
AVAX,SmartContractPlatforms
AXL,Infrastructure_Utility
AXS,NFT_Metaverse
BCH,Payment
BDX,PrivacyCoins
BEAM,PrivacyCoins
BGB,Infrastructure_Utility
BLUR,Infrastructure_Utility
BNB,SmartContractPlatforms
BONK,MemeCoins
BSV,Payment
BTC,Payment
BTG,Payment
BTT,Infrastructure_Utility
CAKE,DeFi
CFX,SmartContractPlatforms
CHZ,NFT_Metaverse
CKB,SmartContractPlatforms
COMP,DeFi
CORE,Infrastructure_Utility
CRO,Payment
CRV,DeFi
DEXE,DeFi
DOGE,MemeCoins
DOT,SmartContractPlatforms
EGLD,SmartContractPlatforms
ENS,Infrastructure_Utility
EOS,SmartContractPlatforms
ETC,SmartContractPlatforms
ETH,SmartContractPlatforms
FET,Infrastructure_Utility
FIL,Infrastructure_Utility
FLOKI,MemeCoins
FLOW,Infrastructure_Utility
FLR,SmartContractPlatforms
FTM,SmartContractPlatforms
FTN,DeFi
GALA,NFT_Metaverse
GMT,Infrastructure_Utility
GNO,DeFi
GT,Infrastructure_Utility
HBAR,SmartContractPlatforms
HNT,Infrastructure_Utility
ICP,SmartContractPlatforms
IMX,NFT_Metaverse
INJ,DeFi
IOTA,SmartContractPlatforms
IOTX,Infrastructure_Utility
JASMY,Infrastructure_Utility
KAS,SmartContractPlatforms
KAVA,SmartContractPlatforms
KCS,Infrastructure_Utility
KLAY,SmartContractPlatforms
KSM,SmartContractPlatforms
LEO,Infrastructure_Utility
LINK,Infrastructure_Utility
LPT,Infrastructure_Utility
LTC,Payment
LUNC,SmartContractPlatforms
MATIC,Infrastructure_Utility
MKR,DeFi
MNT,DeFi
MOG,NFT_Metaverse
MX,Infrastructure_Utility
NEAR,SmartContractPlatforms
NEO,SmartContractPlatforms
NEXO,DeFi
OKB,Infrastructure_Utility
OM,DeFi
OP,Infrastructure_Utility
ORDI,DeFi
OSMO,DeFi
PAXG,Infrastructure_Utility
PENDLE,DeFi
PEOPLE,Infrastructure_Utility
PEPE,MemeCoins
PEPECOIN,MemeCoins
PRIME,DeFi
QNT,Infrastructure_Utility
RAY,DeFi
RENDER,Infrastructure_Utility
RON,Infrastructure_Utility
ROSE,SmartContractPlatforms
RSR,Infrastructure_Utility
RUNE,SmartContractPlatforms
SAFE,SmartContractPlatforms
SEI,DeFi
SFP,Infrastructure_Utility
SHIB,MemeCoins
SNX,DeFi
SOL,SmartContractPlatforms
STX,SmartContractPlatforms
SUI,SmartContractPlatforms
SUPER,Infrastructure_Utility
TAO,Infrastructure_Utility
TFUEL,SmartContractPlatforms
THETA,SmartContractPlatforms
TON,SmartContractPlatforms
TRVL,Infrastructure_Utility
TRX,SmartContractPlatforms
TURBO,DeFi
TWT,Infrastructure_Utility
VET,Infrastructure_Utility
WEMIX,NFT_Metaverse
WLD,DeFi
XDC,SmartContractPlatforms
XEC,Payment
XMR,PrivacyCoins
